customer_id,loans_credit_limit,days_since_opened,days_since_confirmed,loans_credit_cost_rate,record_number,utilization
0,1,2,13,3,14,16
1,8,3,6,2,17,5
2,2,9,10,11,14,18
3,11,14,4,4,7,16
4,16,3,3,7,13,16
5,4,1,0,4,21,9
6,8,19,10,2,14,7
7,4,4,1,4,9,9
8,1,18,6,0,7,16
9,18,17,11,4,17,16
10,3,1,16,2,10,16
11,13,10,9,9,5,16
12,2,11,13,2,10,16
13,14,7,16,2,11,9
14,2,19,10,11,30,3
15,12,11,13,1,15,16
16,2,7,0,2,10,3
17,5,18,8,9,1,16
18,18,15,4,2,8,16
19,0,1,9,5,10,18
20,7,14,2,7,8,16
21,3,14,4,2,5,16
22,4,8,0,10,2,9
23,2,18,16,11,9,18
24,0,13,0,4,11,16
25,17,1,16,13,12,1
26,18,2,13,6,1,16
27,16,7,10,8,10,8
28,11,11,13,11,9,16
29,12,0,14,4,4,16
30,18,1,3,6,10,16
31,14,13,16,2,3,9
32,15,17,2,0,8,8
33,14,13,14,4,6,16
34,12,19,9,8,19,15
35,14,8,4,2,6,9
36,4,8,14,4,7,9
37,15,13,8,4,16,16
38,10,7,1,3,17,16
39,17,10,4,4,16,16
40,11,10,4,4,7,16
41,1,5,13,2,13,16
42,18,3,12,6,8,16
43,2,5,5,13,12,16
44,19,16,7,2,1,16
45,14,1,2,0,15,11
46,0,14,14,2,6,16
47,6,1,1,13,11,16
48,10,4,0,5,6,16
49,8,11,5,2,13,16
50,12,9,9,5,16,4
51,8,2,9,13,12,16
52,11,6,9,11,6,16
53,0,4,13,4,13,16
54,15,17,13,13,10,16
55,14,13,13,2,8,9
56,6,6,17,2,8,16
57,7,6,1,3,7,16
58,7,10,9,3,10,16
59,19,8,7,2,3,16
60,8,3,9,7,11,16
61,18,4,0,4,8,18
62,14,6,9,8,8,16
63,14,10,14,4,6,16
64,2,13,2,13,4,11
65,13,5,8,2,13,16
66,4,8,8,4,1,9
67,4,13,8,4,1,9
68,3,18,8,7,7,16
69,9,5,16,4,7,16
70,12,6,11,4,5,16
71,8,13,5,2,10,16
72,4,10,11,4,3,9
73,3,5,16,7,2,16
74,13,17,11,6,2,16
75,8,18,17,4,11,16
76,12,1,5,13,18,16
77,19,14,4,4,4,16
78,14,5,2,2,11,9
79,7,14,14,4,2,16
80,7,5,0,7,10,16
81,2,4,9,8,11,16
82,14,18,6,4,6,16
83,18,4,12,6,5,16
84,1,2,16,4,13,16
85,10,12,10,1,19,3
86,17,12,16,0,15,16
87,1,11,0,11,5,16
88,12,5,17,2,8,16
89,0,14,3,2,6,16
90,9,4,6,0,6,19
91,11,5,11,7,6,16
92,6,9,5,1,19,16
93,3,5,11,4,15,16
94,8,13,12,4,7,16
95,15,14,8,0,6,16
96,9,0,8,1,4,16
97,8,5,17,7,9,16
98,18,8,7,4,1,16
99,7,5,9,5,11,16
100,14,16,7,2,2,16
101,2,12,2,11,19,6
102,5,0,9,9,5,16
103,16,8,3,4,5,16
104,10,8,9,3,2,16
105,12,16,9,0,2,16
106,15,15,4,4,4,16
107,0,10,0,8,7,16
108,11,2,2,2,15,7
109,2,0,11,2,4,16
110,16,0,1,4,10,16
111,11,4,10,0,7,16
112,12,0,9,2,2,16
113,5,9,13,6,15,16
114,14,3,3,1,9,9
115,19,16,13,0,1,16
116,8,3,2,5,21,16
117,12,16,13,4,2,16
118,11,11,9,9,14,19
119,5,15,17,4,3,16
120,11,2,2,0,10,3
121,4,4,12,2,6,6
122,11,16,7,2,3,16
123,9,9,9,3,11,11
124,19,16,17,2,1,16
125,11,13,9,3,3,16
126,0,0,9,13,5,16
127,3,4,9,9,6,16
128,15,13,5,1,11,16
129,12,18,6,5,16,16
130,0,6,2,13,10,16
131,6,15,9,4,6,16
132,6,12,16,13,24,6
133,7,10,4,2,10,16
134,2,19,0,3,19,16
135,13,6,14,4,7,16
136,18,1,3,9,16,16
137,1,0,9,9,7,16
138,9,13,9,3,9,16
139,14,14,14,2,4,9
140,4,12,10,4,26,6
141,17,4,10,4,14,7
142,0,18,13,7,6,16
143,14,15,8,3,3,9
144,11,3,13,7,16,16
145,8,6,9,5,16,5
146,3,4,8,4,9,16
147,18,1,3,6,7,16
148,11,11,10,3,12,19
149,3,13,1,5,8,16
150,6,14,13,3,10,16
151,5,17,11,6,13,16
152,0,9,2,11,22,11
153,12,8,7,2,4,16
154,10,5,13,2,7,16
155,0,18,6,8,16,16
156,9,15,14,2,2,16
157,1,11,16,2,15,5
158,17,8,7,4,2,16
159,4,10,8,7,9,9
160,13,7,9,0,12,18
161,11,8,4,4,3,16
162,13,9,13,6,14,16
163,6,14,4,4,5,16
164,1,11,13,2,4,16
165,11,4,9,1,13,16
166,12,4,3,2,8,16
167,14,2,9,13,9,16
168,15,1,9,3,8,16
169,11,3,16,1,17,4
170,1,19,9,4,14,16
171,7,0,8,4,8,16
172,17,0,6,7,11,16
173,12,6,17,9,3,16
174,2,14,0,4,1,16
175,17,8,7,2,1,16
176,2,13,1,2,6,16
177,5,15,6,7,3,16
178,5,16,7,4,1,16
179,9,11,0,13,19,5
180,2,4,11,2,15,16
181,13,16,17,2,1,16
182,2,7,2,4,16,3
183,8,19,16,13,18,5
184,16,0,5,4,6,16
185,8,15,11,2,2,16
186,16,4,8,9,9,16
187,19,5,11,4,9,16
188,19,15,17,4,2,16
189,5,1,16,10,7,16
190,0,9,13,13,18,16
191,19,9,5,8,16,16
192,16,10,9,5,2,16
193,16,0,9,13,2,16
194,3,13,14,4,2,16
195,14,15,7,2,3,16
196,8,12,16,2,11,3
197,19,2,3,7,13,16
198,7,8,7,2,4,16
199,11,6,0,1,5,16
200,0,18,5,2,1,16
201,18,13,8,4,6,16
202,2,5,12,4,18,16
203,19,2,3,3,11,16
204,12,17,13,13,14,16
205,19,8,6,4,4,16
206,0,19,9,13,18,18
207,11,1,10,2,11,8
208,0,6,9,1,12,16
209,16,3,2,1,9,16
210,15,9,10,11,14,18
211,6,14,9,4,4,16
212,12,6,9,9,14,16
213,14,14,4,2,3,9
214,10,8,7,4,1,16
215,10,15,9,3,3,16
216,5,15,4,4,4,16
217,9,11,13,4,11,16
218,16,4,16,2,7,6
219,2,18,8,2,12,16
220,2,19,2,11,13,16
221,18,15,7,2,1,16
222,7,10,4,4,7,16
223,18,8,13,4,2,16
224,14,14,4,2,2,9
225,17,2,16,2,16,16
226,15,15,11,4,4,16
227,19,11,17,8,15,16
228,11,9,9,9,12,6
229,0,4,8,2,8,16
230,4,14,3,4,8,9
231,12,3,17,5,10,16
232,16,0,3,9,8,16
233,8,4,17,9,3,16
234,17,17,5,13,8,16
235,17,19,9,5,12,18
236,7,1,9,2,12,19
237,8,14,9,3,4,16
238,19,14,6,1,4,16
239,13,6,14,2,4,16
240,17,1,1,2,14,16
241,18,11,17,4,10,16
242,10,6,9,9,11,16
243,13,19,9,9,14,16
244,11,14,11,2,2,5
245,0,4,16,8,8,19
246,7,3,9,11,7,16
247,14,2,13,1,17,9
248,11,5,12,7,14,16
249,14,14,14,2,5,9
250,4,0,8,4,4,9
251,5,14,4,4,3,16
252,3,15,6,3,5,16
253,0,5,0,0,11,15
254,17,3,3,5,13,16
255,1,15,9,9,3,16
256,6,15,13,4,1,16
257,7,12,9,2,14,6
258,12,6,14,2,13,16
259,2,19,16,11,12,3
260,11,5,9,8,19,15
261,1,4,6,9,10,16
262,11,0,16,7,3,7
263,2,16,4,4,1,16
264,11,2,9,9,11,1
265,1,4,9,9,11,16
266,12,17,9,5,13,16
267,19,0,9,9,3,16
268,2,11,0,2,18,16
269,19,9,0,4,15,16
270,0,19,16,2,12,12
271,9,4,11,9,5,16
272,13,8,9,11,7,16
273,14,6,17,2,5,9
274,15,10,8,1,5,16
275,1,11,17,8,12,16
276,6,10,4,2,2,16
277,14,14,4,2,4,16
278,4,16,7,4,3,9
279,17,0,4,2,8,16
280,18,3,11,6,27,16
281,11,4,8,2,11,16
282,16,1,1,2,11,16
283,5,2,13,10,11,16
284,0,6,2,3,11,16
285,5,8,9,10,1,16
286,5,12,0,6,11,16
287,16,7,16,4,11,16
288,15,19,16,13,10,3
289,14,4,3,2,11,9
290,13,18,12,5,11,16
291,16,3,17,1,12,16
292,16,17,12,9,7,16
293,1,9,9,2,16,4
294,14,1,17,2,14,9
295,14,18,12,1,14,9
296,7,17,12,2,8,16
297,14,8,11,2,3,9
298,14,10,14,2,3,9
299,2,9,2,11,15,3
300,14,5,13,2,8,9
301,12,7,10,4,18,16
302,15,11,9,8,15,19
303,1,14,9,5,3,16
304,19,7,0,4,9,16
305,1,15,7,2,5,16
306,14,11,9,3,11,16
307,19,1,16,7,15,9
308,16,18,8,4,14,16
309,15,17,9,5,8,13
310,0,6,12,2,15,16
311,0,0,14,2,12,16
312,6,16,1,4,2,16
313,10,15,13,4,3,16
314,8,0,9,3,2,16
315,2,4,5,11,16,3
316,12,14,11,2,11,16
317,19,17,0,4,9,16
318,15,12,6,2,24,6
319,14,16,4,2,1,9
320,10,14,9,7,7,16
321,10,4,9,13,7,16
322,3,15,9,4,2,15
323,15,19,6,8,17,8
324,15,0,14,2,3,16
325,0,17,0,2,14,16
326,14,16,4,2,1,16
327,5,16,3,2,1,16
328,4,2,3,10,19,16
329,15,19,2,4,15,3
330,14,14,11,2,1,9
331,10,15,7,2,4,16
332,9,10,10,7,6,16
333,9,14,4,4,5,16
334,18,18,14,2,13,16
335,0,12,2,13,13,6
336,2,19,6,11,23,18
337,13,7,1,6,23,16
338,16,13,14,5,10,16
339,2,3,13,11,22,16
340,3,18,8,4,6,16
341,17,4,17,8,8,16
